rebalance_date,ticker,weight,fund
2022-04-01,V,1.6877849681855243e-17,equity_max_sharpe
2022-05-02,V,8.384247714688583e-18,equity_max_sharpe
2022-06-01,V,0.0,equity_max_sharpe
2022-07-01,V,5.710865047410622e-17,equity_max_sharpe
2022-08-01,V,0.0,equity_max_sharpe
2022-09-01,V,0.0,equity_max_sharpe
2022-10-03,V,0.0,equity_max_sharpe
2022-11-01,V,2.779646139034283e-17,equity_max_sharpe
2022-12-01,V,0.0,equity_max_sharpe
2023-01-03,V,0.0,equity_max_sharpe
2023-02-01,V,0.0,equity_max_sharpe
2023-03-01,V,3.0244149142552894e-17,equity_max_sharpe
2023-04-03,V,1.3564454950920256e-16,equity_max_sharpe
2023-05-01,V,0.0,equity_max_sharpe
2023-06-01,V,0.0,equity_max_sharpe
2023-07-03,V,0.0,equity_max_sharpe
2023-08-01,V,0.0,equity_max_sharpe
2023-09-01,V,0.0,equity_max_sharpe
2023-10-02,V,0.0,equity_max_sharpe
2023-11-01,V,0.0,equity_max_sharpe
2023-12-01,V,0.0,equity_max_sharpe
2021-01-04,WFC,6.969198019373072e-17,equity_max_sharpe
2021-02-01,WFC,0.0,equity_max_sharpe
2021-03-01,WFC,8.119464423638683e-17,equity_max_sharpe
2021-04-01,WFC,4.4961578097529405e-18,equity_max_sharpe
2021-05-03,WFC,0.0,equity_max_sharpe
2021-06-01,WFC,2.326483944660959e-17,equity_max_sharpe
2021-07-01,WFC,0.0,equity_max_sharpe
2021-08-02,WFC,0.0,equity_max_sharpe
2021-09-01,WFC,8.472673373829833e-17,equity_max_sharpe
2021-10-01,WFC,0.005580326303143164,equity_max_sharpe
2021-11-01,WFC,0.08153123873310653,equity_max_sharpe
2021-12-01,WFC,0.061429399972372775,equity_max_sharpe
2022-01-03,WFC,0.027865901819706485,equity_max_sharpe
2022-02-01,WFC,0.06190550558338869,equity_max_sharpe
2022-03-01,WFC,8.232878842271627e-18,equity_max_sharpe
2022-04-01,WFC,1.3169890861982455e-17,equity_max_sharpe
2022-05-02,WFC,0.0,equity_max_sharpe
2022-06-01,WFC,0.0,equity_max_sharpe
2022-07-01,WFC,2.1130678646017667e-17,equity_max_sharpe
2022-08-01,WFC,8.676134280824467e-18,equity_max_sharpe
